order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_type
1,Diana,Tablet,1.9594594594594594,500.0,2024-01-20,South,979.7297297297297,Regular
2,Eve,Laptop,1.9594594594594594,500.0,2024-04-29,North,979.7297297297297,Regular
3,Charlie,Laptop,2.0,250.0,2024-01-08,South,500.0,Regular
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,VIP
5,Eve,Tablet,3.0,500.0,2024-03-07,South,1500.0,VIP
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,VIP
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,VIP
8,Charlie,Laptop,3.0,500.0,2024-02-17,South,1500.0,VIP
9,Charlie,Monitor,1.9594594594594594,750.0,2024-03-16,West,1469.5945945945946,VIP
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,Regular
11,Diana,Monitor,3.0,750.0,2024-04-24,West,2250.0,VIP
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,VIP
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,Regular
14,Eve,Tablet,1.0,500.0,2024-01-22,South,500.0,Regular
15,Bob,Laptop,1.0,500.0,2024-04-19,South,500.0,Regular
16,Diana,Monitor,3.0,750.0,2024-01-27,East,2250.0,VIP
17,Frank,Tablet,2.0,500.0,2024-02-07,North,1000.0,Regular
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,Regular
19,Bob,Laptop,1.9594594594594594,250.0,2024-04-18,South,489.86486486486484,Regular
20,Diana,Tablet,1.0,500.0,2024-02-20,South,500.0,Regular
21,Eve,Laptop,1.0,500.0,2024-02-23,South,500.0,Regular
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,VIP
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,VIP
24,Bob,Phone,2.0,500.0,2024-01-27,South,1000.0,Regular
25,Frank,Laptop,1.9594594594594594,250.0,2024-04-07,East,489.86486486486484,Regular
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,VIP
27,Diana,Tablet,1.0,500.0,2024-01-30,South,500.0,Regular
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,Regular
29,Alice,Monitor,1.0,250.0,2024-01-28,South,250.0,Regular
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,Regular
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,VIP
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,VIP
33,Diana,Monitor,1.9594594594594594,500.0,2024-03-09,South,979.7297297297297,Regular
34,Diana,Tablet,1.9594594594594594,500.0,2024-03-01,West,979.7297297297297,Regular
35,Frank,Tablet,3.0,750.0,2024-02-17,South,2250.0,VIP
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,VIP
37,Frank,Monitor,2.0,500.0,2024-01-04,East,1000.0,Regular
38,Charlie,Laptop,1.9594594594594594,500.0,2024-02-04,West,979.7297297297297,Regular
39,Diana,Tablet,1.9594594594594594,500.0,2024-03-04,South,979.7297297297297,Regular
40,Diana,Monitor,1.9594594594594594,500.0,2024-02-18,South,979.7297297297297,Regular
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,Regular
42,Charlie,Phone,1.9594594594594594,500.0,2024-02-13,South,979.7297297297297,Regular
43,Eve,Tablet,1.0,500.0,2024-04-01,East,500.0,Regular
44,Charlie,Tablet,2.0,250.0,2024-01-30,North,500.0,Regular
45,Eve,Laptop,1.0,500.0,2024-04-02,East,500.0,Regular
46,Alice,Tablet,2.0,250.0,2024-02-15,West,500.0,Regular
47,Bob,Laptop,1.9594594594594594,500.0,2024-04-26,South,979.7297297297297,Regular
48,Diana,Tablet,1.9594594594594594,500.0,2024-01-06,South,979.7297297297297,Regular
49,Alice,Phone,2.0,500.0,2024-04-08,South,1000.0,Regular
50,Diana,Tablet,3.0,250.0,2024-04-14,South,750.0,Regular
51,Frank,Laptop,2.0,250.0,2024-02-06,South,500.0,Regular
52,Bob,Laptop,3.0,500.0,2024-01-24,North,1500.0,VIP
53,Bob,Phone,1.0,750.0,2024-04-02,West,750.0,Regular
54,Alice,Tablet,1.0,750.0,2024-04-22,South,750.0,Regular
55,Bob,Tablet,1.0,250.0,2024-02-15,North,250.0,Regular
56,Eve,Phone,1.9594594594594594,250.0,2024-02-22,South,489.86486486486484,Regular
